[2025-08-01 06:42:40] Created table wptests_ap_payouts
[2025-08-01 06:42:40] Created table wptests_ap_donations
[2025-08-01 06:42:40] Created table wptests_ap_tickets
[2025-08-01 06:42:40] Created table wptests_ap_event_tickets
[2025-08-01 06:42:40] Created table wptests_ap_auctions
[2025-08-01 06:42:40] Created table wptests_ap_bids
[2025-08-01 06:42:40] Created table wptests_ap_promotions
[2025-08-01 06:42:40] Created table wptests_ap_messages
[2025-08-01 06:42:40] Created table wptests_ap_org_user_roles
[2025-08-01 07:33:26] Table wptests_ap_promotions already exists
[2025-08-01 07:33:26] Table wptests_ap_messages already exists
[2025-08-01 07:33:26] Table wptests_ap_org_user_roles already exists
[2025-08-01 07:52:38] Table wptests_ap_payouts already exists
[2025-08-01 07:52:38] Table wptests_ap_donations already exists
[2025-08-01 07:52:38] Table wptests_ap_tickets already exists
[2025-08-01 07:52:38] Table wptests_ap_event_tickets already exists
[2025-08-01 07:52:38] Table wptests_ap_auctions already exists
[2025-08-01 07:52:38] Table wptests_ap_bids already exists
[2025-08-01 07:52:38] Table wptests_ap_promotions already exists
[2025-08-01 07:52:38] Table wptests_ap_messages already exists
[2025-08-01 07:52:38] Table wptests_ap_org_user_roles already exists
[2025-08-01 08:03:46] Table wptests_ap_payouts already exists
[2025-08-01 08:03:46] Table wptests_ap_donations already exists
[2025-08-01 08:03:46] Table wptests_ap_tickets already exists
[2025-08-01 08:03:46] Table wptests_ap_event_tickets already exists
[2025-08-01 08:03:46] Table wptests_ap_auctions already exists
[2025-08-01 08:03:46] Table wptests_ap_bids already exists
[2025-08-01 08:03:46] Table wptests_ap_promotions already exists
[2025-08-01 08:03:46] Table wptests_ap_messages already exists
[2025-08-01 08:03:46] Table wptests_ap_org_user_roles already exists
[2025-08-01 08:07:41] Table wptests_ap_payouts already exists
[2025-08-01 08:07:41] Table wptests_ap_donations already exists
[2025-08-01 08:07:41] Table wptests_ap_tickets already exists
[2025-08-01 08:07:41] Table wptests_ap_event_tickets already exists
[2025-08-01 08:07:41] Table wptests_ap_auctions already exists
[2025-08-01 08:07:41] Table wptests_ap_bids already exists
[2025-08-01 08:07:41] Table wptests_ap_promotions already exists
[2025-08-01 08:07:41] Table wptests_ap_messages already exists
[2025-08-01 08:07:41] Table wptests_ap_org_user_roles already exists
[2025-08-01 08:21:56] Table wptests_ap_payouts already exists
[2025-08-01 08:21:56] Table wptests_ap_donations already exists
[2025-08-01 08:21:56] Table wptests_ap_tickets already exists
[2025-08-01 08:21:56] Table wptests_ap_event_tickets already exists
[2025-08-01 08:21:56] Table wptests_ap_auctions already exists
[2025-08-01 08:21:56] Table wptests_ap_bids already exists
[2025-08-01 08:21:56] Table wptests_ap_promotions already exists
[2025-08-01 08:21:56] Table wptests_ap_messages already exists
[2025-08-01 08:21:56] Table wptests_ap_org_user_roles already exists
[2025-08-01 08:33:55] Table wptests_ap_payouts already exists
[2025-08-01 08:33:55] Table wptests_ap_donations already exists
[2025-08-01 08:33:55] Table wptests_ap_tickets already exists
[2025-08-01 08:33:55] Table wptests_ap_event_tickets already exists
[2025-08-01 08:33:55] Table wptests_ap_auctions already exists
[2025-08-01 08:33:55] Table wptests_ap_bids already exists
[2025-08-01 08:33:55] Table wptests_ap_promotions already exists
[2025-08-01 08:33:55] Table wptests_ap_messages already exists
[2025-08-01 08:33:55] Table wptests_ap_org_user_roles already exists
[2025-08-01 08:42:09] Table wptests_ap_payouts already exists
[2025-08-01 08:42:09] Table wptests_ap_donations already exists
[2025-08-01 08:42:09] Table wptests_ap_tickets already exists
[2025-08-01 08:42:09] Table wptests_ap_event_tickets already exists
[2025-08-01 08:42:09] Table wptests_ap_auctions already exists
[2025-08-01 08:42:09] Table wptests_ap_bids already exists
[2025-08-01 08:42:09] Table wptests_ap_promotions already exists
[2025-08-01 08:42:09] Table wptests_ap_messages already exists
[2025-08-01 08:42:09] Table wptests_ap_org_user_roles already exists
[2025-08-01 08:45:04] Table wptests_ap_payouts already exists
[2025-08-01 08:45:04] Table wptests_ap_donations already exists
[2025-08-01 08:45:04] Table wptests_ap_tickets already exists
[2025-08-01 08:45:04] Table wptests_ap_event_tickets already exists
[2025-08-01 08:45:04] Table wptests_ap_auctions already exists
[2025-08-01 08:45:04] Table wptests_ap_bids already exists
[2025-08-01 08:45:04] Table wptests_ap_promotions already exists
[2025-08-01 08:45:04] Table wptests_ap_messages already exists
[2025-08-01 08:45:04] Table wptests_ap_org_user_roles already exists
[2025-08-01 08:49:32] Table wptests_ap_payouts already exists
[2025-08-01 08:49:32] Table wptests_ap_donations already exists
[2025-08-01 08:49:32] Table wptests_ap_tickets already exists
[2025-08-01 08:49:32] Table wptests_ap_event_tickets already exists
[2025-08-01 08:49:32] Table wptests_ap_auctions already exists
[2025-08-01 08:49:32] Table wptests_ap_bids already exists
[2025-08-01 08:49:32] Table wptests_ap_promotions already exists
[2025-08-01 08:49:32] Table wptests_ap_messages already exists
[2025-08-01 08:49:32] Table wptests_ap_org_user_roles already exists
[2025-08-01 08:53:02] Table wptests_ap_payouts already exists
[2025-08-01 08:53:02] Table wptests_ap_donations already exists
[2025-08-01 08:53:02] Table wptests_ap_tickets already exists
[2025-08-01 08:53:02] Table wptests_ap_event_tickets already exists
[2025-08-01 08:53:02] Table wptests_ap_auctions already exists
[2025-08-01 08:53:02] Table wptests_ap_bids already exists
[2025-08-01 08:53:02] Table wptests_ap_promotions already exists
[2025-08-01 08:53:02] Table wptests_ap_messages already exists
[2025-08-01 08:53:02] Table wptests_ap_org_user_roles already exists
[2025-08-01 12:34:07] Table wptests_ap_payouts already exists
[2025-08-01 12:34:07] Table wptests_ap_donations already exists
[2025-08-01 12:34:07] Table wptests_ap_tickets already exists
[2025-08-01 12:34:07] Table wptests_ap_event_tickets already exists
[2025-08-01 12:34:07] Table wptests_ap_auctions already exists
[2025-08-01 12:34:07] Table wptests_ap_bids already exists
[2025-08-01 12:34:07] Table wptests_ap_promotions already exists
[2025-08-01 12:34:07] Table wptests_ap_messages already exists
[2025-08-01 12:34:07] Table wptests_ap_org_user_roles already exists
[2025-08-01 12:40:03] Table wptests_ap_payouts already exists
[2025-08-01 12:40:03] Table wptests_ap_donations already exists
[2025-08-01 12:40:03] Table wptests_ap_tickets already exists
[2025-08-01 12:40:03] Table wptests_ap_event_tickets already exists
[2025-08-01 12:40:03] Table wptests_ap_auctions already exists
[2025-08-01 12:40:03] Table wptests_ap_bids already exists
[2025-08-01 12:40:03] Table wptests_ap_promotions already exists
[2025-08-01 12:40:03] Table wptests_ap_messages already exists
[2025-08-01 12:40:03] Table wptests_ap_org_user_roles already exists
[2025-08-01 12:42:03] Table wptests_ap_payouts already exists
[2025-08-01 12:42:03] Table wptests_ap_donations already exists
[2025-08-01 12:42:03] Table wptests_ap_tickets already exists
[2025-08-01 12:42:03] Table wptests_ap_event_tickets already exists
[2025-08-01 12:42:03] Table wptests_ap_auctions already exists
[2025-08-01 12:42:03] Table wptests_ap_bids already exists
[2025-08-01 12:42:03] Table wptests_ap_promotions already exists
[2025-08-01 12:42:03] Table wptests_ap_messages already exists
[2025-08-01 12:42:03] Table wptests_ap_org_user_roles already exists
[2025-08-01 12:44:20] Table wptests_ap_payouts already exists
[2025-08-01 12:44:20] Table wptests_ap_donations already exists
[2025-08-01 12:44:20] Table wptests_ap_tickets already exists
[2025-08-01 12:44:20] Table wptests_ap_event_tickets already exists
[2025-08-01 12:44:20] Table wptests_ap_auctions already exists
[2025-08-01 12:44:20] Table wptests_ap_bids already exists
[2025-08-01 12:44:20] Table wptests_ap_promotions already exists
[2025-08-01 12:44:20] Table wptests_ap_messages already exists
[2025-08-01 12:44:20] Table wptests_ap_org_user_roles already exists
[2025-08-01 12:47:33] Table wptests_ap_payouts already exists
[2025-08-01 12:47:33] Table wptests_ap_donations already exists
[2025-08-01 12:47:33] Table wptests_ap_tickets already exists
[2025-08-01 12:47:33] Table wptests_ap_event_tickets already exists
[2025-08-01 12:47:33] Table wptests_ap_auctions already exists
[2025-08-01 12:47:33] Table wptests_ap_bids already exists
[2025-08-01 12:47:33] Table wptests_ap_promotions already exists
[2025-08-01 12:47:33] Table wptests_ap_messages already exists
[2025-08-01 12:47:33] Table wptests_ap_org_user_roles already exists
[2025-08-01 12:49:19] Table wptests_ap_payouts already exists
[2025-08-01 12:49:19] Table wptests_ap_donations already exists
[2025-08-01 12:49:19] Table wptests_ap_tickets already exists
[2025-08-01 12:49:19] Table wptests_ap_event_tickets already exists
[2025-08-01 12:49:19] Table wptests_ap_auctions already exists
[2025-08-01 12:49:19] Table wptests_ap_bids already exists
[2025-08-01 12:49:19] Table wptests_ap_promotions already exists
[2025-08-01 12:49:19] Table wptests_ap_messages already exists
[2025-08-01 12:49:19] Table wptests_ap_org_user_roles already exists
[2025-08-01 12:51:05] Table wptests_ap_payouts already exists
[2025-08-01 12:51:05] Table wptests_ap_donations already exists
[2025-08-01 12:51:05] Table wptests_ap_tickets already exists
[2025-08-01 12:51:05] Table wptests_ap_event_tickets already exists
[2025-08-01 12:51:05] Table wptests_ap_auctions already exists
[2025-08-01 12:51:05] Table wptests_ap_bids already exists
[2025-08-01 12:51:05] Table wptests_ap_promotions already exists
[2025-08-01 12:51:05] Table wptests_ap_messages already exists
[2025-08-01 12:51:05] Table wptests_ap_org_user_roles already exists
[2025-08-01 12:52:25] Table wptests_ap_payouts already exists
[2025-08-01 12:52:25] Table wptests_ap_donations already exists
[2025-08-01 12:52:25] Table wptests_ap_tickets already exists
[2025-08-01 12:52:25] Table wptests_ap_event_tickets already exists
[2025-08-01 12:52:25] Table wptests_ap_auctions already exists
[2025-08-01 12:52:25] Table wptests_ap_bids already exists
[2025-08-01 12:52:25] Table wptests_ap_promotions already exists
[2025-08-01 12:52:25] Table wptests_ap_messages already exists
[2025-08-01 12:52:25] Table wptests_ap_org_user_roles already exists
[2025-08-01 12:59:09] Table wptests_ap_payouts already exists
[2025-08-01 12:59:09] Table wptests_ap_donations already exists
[2025-08-01 12:59:09] Table wptests_ap_tickets already exists
[2025-08-01 12:59:09] Table wptests_ap_event_tickets already exists
[2025-08-01 12:59:09] Table wptests_ap_auctions already exists
[2025-08-01 12:59:09] Table wptests_ap_bids already exists
[2025-08-01 12:59:09] Table wptests_ap_promotions already exists
[2025-08-01 12:59:09] Table wptests_ap_messages already exists
[2025-08-01 12:59:09] Table wptests_ap_org_user_roles already exists
[2025-08-01 13:00:23] Table wptests_ap_payouts already exists
[2025-08-01 13:00:23] Table wptests_ap_donations already exists
[2025-08-01 13:00:23] Table wptests_ap_tickets already exists
[2025-08-01 13:00:23] Table wptests_ap_event_tickets already exists
[2025-08-01 13:00:23] Table wptests_ap_auctions already exists
[2025-08-01 13:00:23] Table wptests_ap_bids already exists
[2025-08-01 13:00:23] Table wptests_ap_promotions already exists
[2025-08-01 13:00:23] Table wptests_ap_messages already exists
[2025-08-01 13:00:23] Table wptests_ap_org_user_roles already exists
[2025-08-01 14:44:55] Table wptests_ap_payouts already exists
[2025-08-01 14:44:55] Table wptests_ap_donations already exists
[2025-08-01 14:44:55] Table wptests_ap_tickets already exists
[2025-08-01 14:44:55] Table wptests_ap_event_tickets already exists
[2025-08-01 14:44:55] Table wptests_ap_auctions already exists
[2025-08-01 14:44:55] Table wptests_ap_bids already exists
[2025-08-01 14:44:55] Table wptests_ap_promotions already exists
[2025-08-01 14:44:55] Table wptests_ap_messages already exists
[2025-08-01 14:44:55] Table wptests_ap_org_user_roles already exists
[2025-08-01 15:14:53] Table wptests_ap_payouts already exists
[2025-08-01 15:14:53] Table wptests_ap_donations already exists
[2025-08-01 15:14:53] Table wptests_ap_tickets already exists
[2025-08-01 15:14:53] Table wptests_ap_event_tickets already exists
[2025-08-01 15:14:53] Table wptests_ap_auctions already exists
[2025-08-01 15:14:53] Table wptests_ap_bids already exists
[2025-08-01 15:14:53] Table wptests_ap_promotions already exists
[2025-08-01 15:14:53] Table wptests_ap_messages already exists
[2025-08-01 15:14:53] Table wptests_ap_org_user_roles already exists
[2025-08-01 15:18:40] Table wptests_ap_payouts already exists
[2025-08-01 15:18:40] Table wptests_ap_donations already exists
[2025-08-01 15:18:40] Table wptests_ap_tickets already exists
[2025-08-01 15:18:40] Table wptests_ap_event_tickets already exists
[2025-08-01 15:18:40] Table wptests_ap_auctions already exists
[2025-08-01 15:18:40] Table wptests_ap_bids already exists
[2025-08-01 15:18:40] Table wptests_ap_promotions already exists
[2025-08-01 15:18:40] Table wptests_ap_messages already exists
[2025-08-01 15:18:40] Table wptests_ap_org_user_roles already exists
[2025-08-01 15:20:29] Table wptests_ap_payouts already exists
[2025-08-01 15:20:29] Table wptests_ap_donations already exists
[2025-08-01 15:20:29] Table wptests_ap_tickets already exists
[2025-08-01 15:20:29] Table wptests_ap_event_tickets already exists
[2025-08-01 15:20:29] Table wptests_ap_auctions already exists
[2025-08-01 15:20:29] Table wptests_ap_bids already exists
[2025-08-01 15:20:29] Table wptests_ap_promotions already exists
[2025-08-01 15:20:29] Table wptests_ap_messages already exists
[2025-08-01 15:20:29] Table wptests_ap_org_user_roles already exists
[2025-08-01 15:22:45] Table wptests_ap_payouts already exists
[2025-08-01 15:22:45] Table wptests_ap_donations already exists
[2025-08-01 15:22:45] Table wptests_ap_tickets already exists
[2025-08-01 15:22:45] Table wptests_ap_event_tickets already exists
[2025-08-01 15:22:45] Table wptests_ap_auctions already exists
[2025-08-01 15:22:45] Table wptests_ap_bids already exists
[2025-08-01 15:22:45] Table wptests_ap_promotions already exists
[2025-08-01 15:22:45] Table wptests_ap_messages already exists
[2025-08-01 15:22:45] Table wptests_ap_org_user_roles already exists
[2025-08-01 15:25:32] Table wptests_ap_payouts already exists
[2025-08-01 15:25:32] Table wptests_ap_donations already exists
[2025-08-01 15:25:32] Table wptests_ap_tickets already exists
[2025-08-01 15:25:32] Table wptests_ap_event_tickets already exists
[2025-08-01 15:25:32] Table wptests_ap_auctions already exists
[2025-08-01 15:25:32] Table wptests_ap_bids already exists
[2025-08-01 15:25:32] Table wptests_ap_promotions already exists
[2025-08-01 15:25:32] Table wptests_ap_messages already exists
[2025-08-01 15:25:32] Table wptests_ap_org_user_roles already exists
[2025-08-01 16:04:34] Table wptests_ap_payouts already exists
[2025-08-01 16:04:34] Table wptests_ap_donations already exists
[2025-08-01 16:04:34] Table wptests_ap_tickets already exists
[2025-08-01 16:04:34] Table wptests_ap_event_tickets already exists
[2025-08-01 16:04:34] Table wptests_ap_auctions already exists
[2025-08-01 16:04:34] Table wptests_ap_bids already exists
[2025-08-01 16:04:34] Table wptests_ap_promotions already exists
[2025-08-01 16:04:34] Table wptests_ap_messages already exists
[2025-08-01 16:04:34] Table wptests_ap_org_user_roles already exists
[2025-08-01 16:38:06] Table wptests_ap_payouts already exists
[2025-08-01 16:38:06] Table wptests_ap_donations already exists
[2025-08-01 16:38:06] Table wptests_ap_tickets already exists
[2025-08-01 16:38:06] Table wptests_ap_event_tickets already exists
[2025-08-01 16:38:06] Table wptests_ap_auctions already exists
[2025-08-01 16:38:06] Table wptests_ap_bids already exists
[2025-08-01 16:38:06] Table wptests_ap_promotions already exists
[2025-08-01 16:38:06] Table wptests_ap_messages already exists
[2025-08-01 16:38:06] Table wptests_ap_org_user_roles already exists
[2025-08-21 06:02:21] Table wptests_ap_payouts already exists
[2025-08-21 06:02:21] Table wptests_ap_donations already exists
[2025-08-21 06:02:21] Table wptests_ap_tickets already exists
[2025-08-21 06:02:21] Table wptests_ap_event_tickets already exists
[2025-08-21 06:02:21] Table wptests_ap_auctions already exists
[2025-08-21 06:02:21] Table wptests_ap_bids already exists
[2025-08-21 06:02:21] Table wptests_ap_promotions already exists
[2025-08-21 06:02:21] Table wptests_ap_messages already exists
[2025-08-21 06:02:21] Table wptests_ap_org_user_roles already exists
[2025-08-21 09:37:01] Table wptests_ap_payouts already exists
[2025-08-21 09:37:01] Table wptests_ap_donations already exists
[2025-08-21 09:37:01] Table wptests_ap_tickets already exists
[2025-08-21 09:37:01] Table wptests_ap_event_tickets already exists
[2025-08-21 09:37:01] Table wptests_ap_auctions already exists
[2025-08-21 09:37:01] Table wptests_ap_bids already exists
[2025-08-21 09:37:01] Table wptests_ap_promotions already exists
[2025-08-21 09:37:01] Table wptests_ap_messages already exists
[2025-08-21 09:37:01] Table wptests_ap_org_user_roles already exists
[2025-08-21 09:39:40] Table wptests_ap_payouts already exists
[2025-08-21 09:39:40] Table wptests_ap_donations already exists
[2025-08-21 09:39:40] Table wptests_ap_tickets already exists
[2025-08-21 09:39:40] Table wptests_ap_event_tickets already exists
[2025-08-21 09:39:40] Table wptests_ap_auctions already exists
[2025-08-21 09:39:40] Table wptests_ap_bids already exists
[2025-08-21 09:39:40] Table wptests_ap_promotions already exists
[2025-08-21 09:39:40] Table wptests_ap_messages already exists
[2025-08-21 09:39:40] Table wptests_ap_org_user_roles already exists
[2025-08-21 09:42:15] Table wptests_ap_payouts already exists
[2025-08-21 09:42:15] Table wptests_ap_donations already exists
[2025-08-21 09:42:15] Table wptests_ap_tickets already exists
[2025-08-21 09:42:15] Table wptests_ap_event_tickets already exists
[2025-08-21 09:42:15] Table wptests_ap_auctions already exists
[2025-08-21 09:42:15] Table wptests_ap_bids already exists
[2025-08-21 09:42:15] Table wptests_ap_promotions already exists
[2025-08-21 09:42:15] Table wptests_ap_messages already exists
[2025-08-21 09:42:15] Table wptests_ap_org_user_roles already exists
[2025-08-21 09:44:43] Table wptests_ap_payouts already exists
[2025-08-21 09:44:43] Table wptests_ap_donations already exists
[2025-08-21 09:44:43] Table wptests_ap_tickets already exists
[2025-08-21 09:44:43] Table wptests_ap_event_tickets already exists
[2025-08-21 09:44:43] Table wptests_ap_auctions already exists
[2025-08-21 09:44:43] Table wptests_ap_bids already exists
[2025-08-21 09:44:43] Table wptests_ap_promotions already exists
[2025-08-21 09:44:43] Table wptests_ap_messages already exists
[2025-08-21 09:44:43] Table wptests_ap_org_user_roles already exists
[2025-08-21 09:46:03] Table wptests_ap_payouts already exists
[2025-08-21 09:46:03] Table wptests_ap_donations already exists
[2025-08-21 09:46:03] Table wptests_ap_tickets already exists
[2025-08-21 09:46:03] Table wptests_ap_event_tickets already exists
[2025-08-21 09:46:03] Table wptests_ap_auctions already exists
[2025-08-21 09:46:03] Table wptests_ap_bids already exists
[2025-08-21 09:46:03] Table wptests_ap_promotions already exists
[2025-08-21 09:46:03] Table wptests_ap_messages already exists
[2025-08-21 09:46:03] Table wptests_ap_org_user_roles already exists
[2025-08-21 09:48:12] Table wptests_ap_payouts already exists
[2025-08-21 09:48:12] Table wptests_ap_donations already exists
[2025-08-21 09:48:12] Table wptests_ap_tickets already exists
[2025-08-21 09:48:12] Table wptests_ap_event_tickets already exists
[2025-08-21 09:48:12] Table wptests_ap_auctions already exists
[2025-08-21 09:48:12] Table wptests_ap_bids already exists
[2025-08-21 09:48:12] Table wptests_ap_promotions already exists
[2025-08-21 09:48:12] Table wptests_ap_messages already exists
[2025-08-21 09:48:12] Table wptests_ap_org_user_roles already exists
[2025-08-21 09:49:31] Table wptests_ap_payouts already exists
[2025-08-21 09:49:31] Table wptests_ap_donations already exists
[2025-08-21 09:49:31] Table wptests_ap_tickets already exists
[2025-08-21 09:49:31] Table wptests_ap_event_tickets already exists
[2025-08-21 09:49:31] Table wptests_ap_auctions already exists
[2025-08-21 09:49:31] Table wptests_ap_bids already exists
[2025-08-21 09:49:31] Table wptests_ap_promotions already exists
[2025-08-21 09:49:31] Table wptests_ap_messages already exists
[2025-08-21 09:49:31] Table wptests_ap_org_user_roles already exists
[2025-08-21 09:49:36] Created table wptests_ap_tickets
[2025-08-21 10:10:17] Table wptests_ap_payouts already exists
[2025-08-21 10:10:17] Table wptests_ap_donations already exists
[2025-08-21 10:10:17] Table wptests_ap_tickets already exists
[2025-08-21 10:10:17] Table wptests_ap_event_tickets already exists
[2025-08-21 10:10:17] Table wptests_ap_auctions already exists
[2025-08-21 10:10:17] Table wptests_ap_bids already exists
[2025-08-21 10:10:17] Table wptests_ap_promotions already exists
[2025-08-21 10:10:17] Table wptests_ap_messages already exists
[2025-08-21 10:10:17] Table wptests_ap_org_user_roles already exists
[2025-08-21 10:13:52] Table wptests_ap_payouts already exists
[2025-08-21 10:13:52] Table wptests_ap_donations already exists
[2025-08-21 10:13:52] Table wptests_ap_tickets already exists
[2025-08-21 10:13:52] Table wptests_ap_event_tickets already exists
[2025-08-21 10:13:52] Table wptests_ap_auctions already exists
[2025-08-21 10:13:52] Table wptests_ap_bids already exists
[2025-08-21 10:13:52] Table wptests_ap_promotions already exists
[2025-08-21 10:13:52] Table wptests_ap_messages already exists
[2025-08-21 10:13:52] Table wptests_ap_org_user_roles already exists
[2025-08-21 10:19:11] Table wptests_ap_payouts already exists
[2025-08-21 10:19:11] Table wptests_ap_donations already exists
[2025-08-21 10:19:11] Table wptests_ap_tickets already exists
[2025-08-21 10:19:11] Table wptests_ap_event_tickets already exists
[2025-08-21 10:19:11] Table wptests_ap_auctions already exists
[2025-08-21 10:19:11] Table wptests_ap_bids already exists
[2025-08-21 10:19:11] Table wptests_ap_promotions already exists
[2025-08-21 10:19:11] Table wptests_ap_messages already exists
[2025-08-21 10:19:11] Table wptests_ap_org_user_roles already exists
[2025-08-21 10:19:17] Created table wptests_ap_tickets
[2025-08-21 12:19:59] Table wptests_ap_payouts already exists
[2025-08-21 12:19:59] Table wptests_ap_donations already exists
[2025-08-21 12:19:59] Table wptests_ap_tickets already exists
[2025-08-21 12:19:59] Table wptests_ap_event_tickets already exists
[2025-08-21 12:19:59] Table wptests_ap_auctions already exists
[2025-08-21 12:19:59] Table wptests_ap_bids already exists
[2025-08-21 12:19:59] Table wptests_ap_promotions already exists
[2025-08-21 12:19:59] Table wptests_ap_messages already exists
[2025-08-21 12:19:59] Table wptests_ap_org_user_roles already exists
[2025-08-21 12:20:05] Created table wptests_ap_tickets
[2025-08-21 12:47:21] Table wptests_ap_payouts already exists
[2025-08-21 12:47:21] Table wptests_ap_donations already exists
[2025-08-21 12:47:21] Table wptests_ap_tickets already exists
[2025-08-21 12:47:21] Table wptests_ap_event_tickets already exists
[2025-08-21 12:47:21] Table wptests_ap_auctions already exists
[2025-08-21 12:47:21] Table wptests_ap_bids already exists
[2025-08-21 12:47:21] Table wptests_ap_promotions already exists
[2025-08-21 12:47:21] Table wptests_ap_messages already exists
[2025-08-21 12:47:21] Table wptests_ap_org_user_roles already exists
[2025-08-21 12:47:25] Created table wptests_ap_tickets
[2025-08-21 13:25:44] Table wptests_ap_payouts already exists
[2025-08-21 13:25:44] Table wptests_ap_donations already exists
[2025-08-21 13:25:44] Table wptests_ap_tickets already exists
[2025-08-21 13:25:44] Table wptests_ap_event_tickets already exists
[2025-08-21 13:25:44] Table wptests_ap_auctions already exists
[2025-08-21 13:25:44] Table wptests_ap_bids already exists
[2025-08-21 13:25:44] Table wptests_ap_promotions already exists
[2025-08-21 13:25:44] Table wptests_ap_messages already exists
[2025-08-21 13:25:44] Table wptests_ap_org_user_roles already exists
[2025-08-21 13:29:12] Table wptests_ap_payouts already exists
[2025-08-21 13:29:12] Table wptests_ap_donations already exists
[2025-08-21 13:29:12] Table wptests_ap_tickets already exists
[2025-08-21 13:29:12] Table wptests_ap_event_tickets already exists
[2025-08-21 13:29:12] Table wptests_ap_auctions already exists
[2025-08-21 13:29:12] Table wptests_ap_bids already exists
[2025-08-21 13:29:12] Table wptests_ap_promotions already exists
[2025-08-21 13:29:12] Table wptests_ap_messages already exists
[2025-08-21 13:29:12] Table wptests_ap_org_user_roles already exists
[2025-08-21 13:35:05] Table wptests_ap_payouts already exists
[2025-08-21 13:35:05] Table wptests_ap_donations already exists
[2025-08-21 13:35:05] Table wptests_ap_tickets already exists
[2025-08-21 13:35:05] Table wptests_ap_event_tickets already exists
[2025-08-21 13:35:05] Table wptests_ap_auctions already exists
[2025-08-21 13:35:05] Table wptests_ap_bids already exists
[2025-08-21 13:35:05] Table wptests_ap_promotions already exists
[2025-08-21 13:35:05] Table wptests_ap_messages already exists
[2025-08-21 13:35:05] Table wptests_ap_org_user_roles already exists
